,Source_Name,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Index,Unc_PL_Index,CLASS,ASSOC1,RA_Counterpart,DEC_Counterpart,Unc_Counterpart,Redshift,SED_class,nu_syn,nuFnu_syn,Variability_Index,Frac_Variability,Unc_Frac_Variability,Highest_energy
0,4FGL J0001.2-0747,8.2320506e-10,5.6777423e-11,9.440178e-12,6.5065303e-13,PowerLaw,2.1049428,0.05002799,bll,PMN J0001-0746,0.3251038,-7.774144975,1.8000000068241206e-07,-inf,LSP,91201080000000.0,1.9367698e-12,33.22868,0.33279318,0.108399756,86.9752
1,4FGL J0003.2+2207,1.3514474e-10,3.3926677e-11,1.7323027e-12,5.317863e-13,PowerLaw,2.210459,0.20792037,bll,2MASX J00032450+2204559,0.852178433333,22.0821530694,2.310189728405021e-07,0.09983,LSP,83176379000000.0,4.5184033e-13,5.1751347,0.0,10.0,-inf
2,4FGL J0003.9-1149,3.505177e-10,4.4482935e-11,3.2111015e-12,4.419565e-13,LogParabola,2.0871086,0.086440966,bll,PMN J0004-1148,1.02047914167,-11.8162183194,1.199999957179898e-07,1.30999,LSP,2454708810000.0,8.173593e-13,4.358574,0.0,10.0,-inf
3,4FGL J0004.0+0840,1.9185711e-10,3.5494694e-11,2.4867556e-12,4.6014256e-13,PowerLaw,2.035315,0.1281966,bll,SDSS J000359.23+084138.1,0.996792179167,8.6939406,4.199999921183917e-07,2.057129,ISP,301995156000000.0,2.5930565e-13,11.35256,0.3789283,0.39466152,-inf
4,4FGL J0006.3-0620,1.3976847e-10,3.1349683e-11,1.4250478e-12,3.816831e-13,PowerLaw,2.127844,0.14994109,bll,PKS 0003-066,1.55788704167,-6.39314870278,6.799999852091787e-08,0.347,LSP,8317637800000.0,8.180352e-12,20.412579,0.47420785,0.34798664,-inf
5,4FGL J0006.4+0135,1.5191187e-10,3.2195253e-11,1.9687706e-12,4.169119e-13,PowerLaw,2.0524669,0.15627095,bll,NVSS J000626+013611,1.61218634167,1.60288485,1.500000053056283e-06,0.787,ISP,229086761000000.0,2.2438819e-13,6.2646704,0.0,10.0,19.675
6,4FGL J0008.0+4711,2.0532935e-09,8.062639e-11,1.8266043e-11,1.1171772e-12,LogParabola,2.0470488,0.027792612,bll,MG4 J000800+4712,1.99988861667,47.20215795,2.399999914359796e-07,0.28,LSP,33496544300000.0,1.2983028e-12,6.4340043,0.0,10.0,68.152
7,4FGL J0008.4-2339,1.6445478e-10,3.0417942e-11,2.6925014e-12,4.951347e-13,PowerLaw,1.6560616,0.10671219,bll,RBS 0016,2.14749853333,-23.6577799306,5.399999736255268e-07,0.147,,0.0,0.0,13.834541,0.33446735,0.32709983,71.1217
8,4FGL J0009.1+0628,4.770015e-10,4.728492e-11,5.1309937e-12,5.7255454e-13,PowerLaw,2.0990546,0.07226955,bll,TXS 0006+061,2.26638275,6.47256675278,1.5999999902760464e-07,1.562629,LSP,24547088700000.0,1.7127541e-12,13.0460005,0.21036947,0.16240887,45.6536
9,4FGL J0009.3+5030,2.6324594e-09,8.7119825e-11,2.5818998e-11,1.1852658e-12,LogParabola,1.9939121,0.022230837,bll,NVSS J000922+503028,2.344833625,50.5080106194,3.700000092976552e-07,-inf,HSP,1258925380000000.0,1.1958948e-12,148.49959,0.3876576,0.097016215,72.7617
10,4FGL J0009.8-4317,2.0692376e-10,2.9457662e-11,2.4276982e-12,3.6578325e-13,PowerLaw,2.0651708,0.10823472,bll,SUMSS J000949-431654,2.457291603088379,-43.28058242797852,0.0044999998062849,0.56,,0.0,0.0,16.922379,0.40474758,0.22151445,21.4499
11,4FGL J0013.1-3955,4.1848375e-10,3.7944693e-11,4.9848233e-12,4.8477395e-13,PowerLaw,2.0022683,0.067522354,bll,PKS 0010-401,3.24962430417,-39.9072375472,9.499999720219421e-08,-inf,LSP,7244359400000.0,9.466142e-13,12.1377325,0.1877603,0.15923761,24.1047
12,4FGL J0013.9-1854,2.9763778e-10,3.610505e-11,3.1480432e-12,4.547574e-13,PowerLaw,1.9975508,0.08971489,bll,RBS 0030,3.48351326667,-18.9018600611,8.000000093488779e-07,0.094846,HSP,8.7096362e+16,5.1275984e-12,4.38526,0.0,10.0,70.8079
13,4FGL J0014.1+1910,2.2511593e-10,3.5455187e-11,2.295955e-12,4.346078e-13,PowerLaw,2.276216,0.11154128,bll,MG3 J001356+1910,3.48490050417,19.1783099694,1.300000036508209e-07,0.477,LSP,46773515000000.0,1.8653358e-12,39.85302,0.9523104,0.28295776,-inf
14,4FGL J0014.1-5022,2.5777988e-10,3.3368842e-11,2.8836386e-12,4.1998013e-13,PowerLaw,2.0150008,0.10290538,bll,RBS 0032,3.54776027917,-50.3763770917,2.8000000384054147e-05,0.01,HSP,4.57088184e+17,2.5924774e-12,2.0987236,0.0,10.0,76.5984
15,4FGL J0014.2+0854,1.6505607e-10,3.970365e-11,2.6802735e-12,6.282127e-13,PowerLaw,2.4726174,0.1757508,bll,MS 0011.7+0837,3.58224983333,8.90056895556,3.899999967416079e-07,0.163,,0.0,0.0,9.475375,0.0,10.0,-inf
16,4FGL J0015.2+3537,1.0261945e-10,3.010108e-11,1.4447513e-12,3.777386e-13,PowerLaw,1.926888,0.19904128,bll,RX J0015.4+3536,3.866199970245361,35.610801696777344,0.0089999996125698,0.57,ISP,275422864000000.0,5.252354e-13,7.3953557,0.0,10.0,98.5934
17,4FGL J0015.9+2440,2.4848282e-10,3.484268e-11,2.4443232e-12,4.4011553e-13,PowerLaw,2.2468426,0.1318861,bll,GB6 J0016+2440,4.01507039167,24.6707497861,7.699999855503847e-07,-inf,,0.0,0.0,17.136227,0.37328547,0.19607712,-inf
