Source_Name,Energy_Flux100,Unc_Energy_Flux100,PL_Index,CLASS,RA_Counterpart,DEC_Counterpart,Redshift,SED_class,nuFnu_syn,Highest_energy,ASSOC1
4FGL J0017.5-0514,1.22E-11,8.88E-13,2.563,FSRQ,4.399238417,-5.211602222,0.227,LSP,2.61E-12,-inf,PMN J0017-0512
4FGL J0210.7-5101,4.74E-11,1.02E-12,2.3416083,FSRQ,32.69250178,-51.01719217,1.003,LSP,6.07E-12,24.4463,PKS 0208-512
4FGL J0221.1+3556,8.68E-11,1.85E-12,2.2875438,FSRQ,35.27289052,35.93718443,0.944,LSP,2.80E-12,101.521,B2 0218+357
4FGL J0237.8+2848,8.95E-11,1.44E-12,2.3156402,FSRQ,39.468357,28.80249724,1.206,LSP,7.18E-12,42.1336,4C +28.07
4FGL J0403.9-3605,9.06E-11,1.21E-12,2.5284357,FSRQ,60.97395793,-36.08386475,1.417,LSP,2.18E-11,32.1045,PKS 0402-362
4FGL J0423.3-0120,4.17E-11,1.28E-12,2.3318553,FSRQ,65.81583635,-1.342518208,0.916,LSP,2.65E-11,34.6048,PKS 0420-01
4FGL J0457.0-2324,2.03E-10,2.30E-12,2.2056735,FSRQ,74.26324678,-23.41445007,1.003,LSP,5.20E-12,111.023,PKS 0454-234
4FGL J0530.9+1332,2.58E-11,1.89E-12,2.560303,FSRQ,82.73506979,13.53198598,2.07,LSP,2.49E-12,10.9062,PKS 0528+134
4FGL J0532.6+0732,5.92E-11,1.63E-12,2.3571353,FSRQ,83.16249364,7.545373703,1.254,LSP,3.23E-12,37.4278,OG 050
4FGL J0654.4+4514,1.75E-11,9.83E-13,2.2699974,FSRQ,103.5988069,45.23987399,0.928,LSP,2.31E-12,79.2,B3 0650+453
4FGL J0725.2+1425,4.84E-11,1.28E-12,2.2888758,FSRQ,111.3200324,14.42048517,1.038,LSP,2.01E-12,37.222,4C +14.23
4FGL J0830.8+2410,2.25E-11,9.45E-13,2.5217457,FSRQ,127.7170258,24.18328342,0.939,LSP,6.53E-12,14.2045,S3 0827+24
4FGL J0841.3+7053,5.31E-11,9.92E-13,2.819621,FSRQ,130.351522,70.89504806,2.218,LSP,4.37E-12,-inf,4C +71.07
4FGL J1033.9+6050,4.17E-11,1.58E-12,2.2151487,FSRQ,158.4642874,60.85203754,1.401,LSP,4.57E-12,45.0342,S4 1030+61
4FGL J1048.4+7143,6.82E-11,1.35E-12,2.2886355,FSRQ,162.115083,71.72664955,1.15,LSP,2.96E-12,31.2034,S5 1044+71
4FGL J1153.4+4931,1.82E-11,6.23E-13,2.411873,FSRQ,178.3519443,49.5191195,0.334,LSP,9.77E-12,38.6427,4C +49.22
4FGL J1224.9+2122,2.32E-10,2.30E-12,2.3418603,FSRQ,186.22691,21.37955233,0.434,LSP,1.23E-11,161.89,4C +21.35
4FGL J1229.0+0202,1.29E-10,1.56E-12,2.7048068,FSRQ,187.2779156,2.052388336,0.158,LSP,9.03E-11,60.5125,3C 273
4FGL J1256.1-0547,2.79E-10,2.66E-12,2.2900188,FSRQ,194.0465274,-5.789312547,0.536,LSP,3.53E-11,66.5184,3C 279
4FGL J1427.9-4206,3.54E-10,3.35E-12,2.2048283,FSRQ,216.9845732,-42.10539936,1.522,LSP,2.37E-11,59.0618,PKS 1424-41
4FGL J1457.4-3539,3.77E-11,1.21E-12,2.3243513,FSRQ,224.3612988,-35.65276989,1.424,LSP,3.56E-12,34.149,PKS 1454-354
4FGL J1504.4+1029,1.90E-10,2.14E-12,2.250125,FSRQ,226.1040824,10.49422181,1.839,LSP,2.12E-12,51.0967,PKS 1502+106
4FGL J1512.8-0906,4.59E-10,3.85E-12,2.3825283,FSRQ,228.2105539,-9.099952742,0.36,LSP,1.11E-11,230.846,PKS 1510-089
4FGL J1626.0-2950,4.23E-11,1.55E-12,2.5642018,FSRQ,246.5250868,-29.85749204,0.815,LSP,7.42E-12,42.6192,PKS B1622-297
4FGL J1635.2+3808,1.65E-10,2.35E-12,2.4106271,FSRQ,248.8145541,38.13458349,1.814,LSP,8.25E-12,22.1671,4C +38.41
4FGL J1640.4+3945,3.00E-11,1.34E-12,2.4212947,FSRQ,250.1234699,39.77945234,1.66,LSP,1.12E-12,19.8167,NRAO 512
4FGL J1642.9+3948,2.79E-11,1.27E-12,2.4020476,FSRQ,250.7450415,39.81027609,0.593,LSP,2.10E-11,58.4782,3C 345
4FGL J1733.0-1305,6.60E-11,2.05E-12,2.3594265,FSRQ,263.2612741,-13.08043008,0.902,LSP,1.19E-11,37.5208,PKS 1730-13
4FGL J1848.4+3217,2.23E-11,1.71E-12,2.4108405,FSRQ,282.0920357,32.31738995,0.798,LSP,3.35E-12,25.433,B2 1846+32A
4FGL J1849.2+6705,4.99E-11,1.33E-12,2.2949107,FSRQ,282.3169678,67.09491119,0.657,LSP,1.35E-11,37.3328,S4 1849+67
4FGL J2126.3-4605,1.49E-11,6.56E-13,2.5543292,FSRQ,321.6279344,-46.09663673,1.67,LSP,1.20E-12,-inf,PKS 2123-463
4FGL J2147.1+0931,2.37E-11,9.46E-13,2.5378983,FSRQ,326.7923457,9.496297847,1.113,LSP,1.53E-12,79.8522,PKS 2144+092
4FGL J2147.3-7536,6.88E-11,1.28E-12,2.44087,FSRQ,326.8030444,-75.60367359,1.138,LSP,3.22E-11,137.008,PKS 2142-75
4FGL J2229.7-0832,4.73E-11,1.05E-12,2.5872872,FSRQ,337.4170181,-8.548454311,1.56,LSP,6.27E-12,17.0655,PKS 2227-08
4FGL J2232.6+1143,2.20E-10,2.19E-12,2.2865994,FSRQ,338.1517038,11.73080669,1.037,LSP,4.88E-12,37.6791,CTA 102
4FGL J2253.9+1609,1.11E-09,5.34E-12,2.396776,FSRQ,343.4906164,16.14821135,0.859,LSP,4.63E-11,80.5114,3C 454.3
4FGL J2311.0+3425,4.92E-11,1.14E-12,2.3505638,FSRQ,347.7722033,34.41969593,1.817,LSP,4.68E-12,41.3443,B2 2308+34
4FGL J2329.3-4955,1.51E-10,1.82E-12,2.2817457,FSRQ,352.3370069,-49.92795912,0.518,LSP,4.77E-12,53.4998,PKS 2326-502
4FGL J2345.2-1555,1.00E-10,2.07E-12,2.1499286,FSRQ,356.3019263,-15.91884292,0.621,LSP,5.30E-12,69.5712,PMN J2345-1555
4FGL J0539.6+1432,1.29E-11,1.13E-12,2.5451708,FSRQ,84.92652497,14.56265604,2.69,LSP,1.25E-12,-inf,TXS 0536+145
4FGL J0641.7-0320,2.69E-11,1.80E-12,2.6824963,FSRQ,100.4630539,-3.346828383,1.196,LSP,7.03E-13,-inf,PMN J0641-0320
4FGL J1833.6-2103,2.11E-10,3.46E-12,2.5344589,FSRQ,278.4159986,-21.06146639,2.507,LSP,3.63E-12,35.2253,PKS 1830-211
4FGL J2015.5+3710,7.80E-11,6.18E-12,2.4528527,FSRQ,303.8697075,37.18319858,0.859,LSP,1.08E-11,49.7065,MG2 J201534+3710
4FGL J0001.5+2113,1.93E-11,8.21E-13,2.659308,fsrq,0.3848771,21.22674296,1.106,ISP,1.15E-12,-inf,TXS 2358+209
4FGL J0004.3+4614,2.49E-12,4.60E-13,2.584969,fsrq,1.067198515,46.25499344,1.81,LSP,2.29E-13,-inf,MG4 J000421+4615
