Source_Name DataRelease RAJ2000 DEJ2000 GLON GLAT Signif_Avg Flux1000 Unc_Flux1000 Energy_Flux100 Unc_Energy_Flux100 SpectrumType PL_Index Unc_PL_Index Pivot_Energy LP_Index Unc_LP_Index LP_beta Unc_LP_beta Flags CLASS ASSOC1 ASSOC_PROB_BAY ASSOC_PROB_LR Counterpart_Catalog RA_Counterpart DEC_Counterpart Unc_Counterpart VLBI_Counterpart Redshift SED_class nu_syn nuFnu_syn Variability_Index Frac_Variability Unc_Frac_Variability Highest_energy
"4FGL J0038.7-0204" 1 9.6899 -2.0722 115.48633 -64.760506 8.99877 1.7130869e-10 3.1827305e-11 3.1504482e-12 6.12274e-13 PowerLaw 2.8872464 0.09836689 383.4067 2.7456284 0.16713412 0.22360884 0.12652501 2 rdg "3C 17" 0.0 0.98065263 nvss 9.5855389875 -2.12792973056 1.500000053056283e-07 "RFC J0038-0207" 0.22043  0.0 0.0 17.618511 0.33379373 0.1547133 -inf
"4FGL J0142.7-0543" 1 25.6754 -5.7332 154.91122 -65.371185 6.8689256 1.5244421e-10 2.8543888e-11 2.01303e-12 3.847887e-13 PowerLaw 2.292796 0.13961539 1514.0139 2.2753446 0.16601016 0.0516501 0.08910818 0 bll "PKS 0140-059" 0.99835116 0.9659322 bzcat 25.661988325 -5.73376685278 4.999999987376214e-07 "RFC J0142-0544" -inf LSP 43651580000000.0 1.0525822e-12 20.977783 0.7225052 0.30609977 -inf
"4FGL J0708.9+4839" 1 107.2472 48.6558 168.52635 22.787235 6.488861 1.10997614e-10 2.8849527e-11 1.2698942e-12 3.5001488e-13 PowerLaw 1.7684165 0.15111575 7131.913 1.5932866 0.27820268 0.15156329 0.14178441 2 rdg "NGC 2329" 0.95052457 0.92499506 crates 107.283358254 48.6154819222 2.0000000233721948e-07 "RFC J0709+4836" 0.01933  0.0 0.0 9.754525 0.0 10.0 82.3241
"4FGL J0758.7+3746" 1 119.6893 37.7776 182.70145 28.88167 5.6106277 1.3852616e-10 2.9386788e-11 1.4380115e-12 3.5844504e-13 PowerLaw 2.1988335 0.15975831 1978.8269 2.1135125 0.24421032 0.08004935 0.1315054 0 rdg "NGC 2484" 0.88995504 0.9776918 rfc 119.617117254 37.7866133722 1.3999999737279722e-07 "RFC J0758+3747" 0.042836 ISP 186208710000000.0 8.615768e-13 6.3644457 0.0 10.0 39.7014
"4FGL J0827.8+5221" 1 126.9611 52.3599 166.2575 35.66354 5.801231 1.2212542e-10 3.0177975e-11 1.7000072e-12 5.001101e-13 PowerLaw 2.0655518 0.19640765 3881.422 2.0885324 0.22297993 -0.014552526 0.09507893 16 fsrq "TXS 0824+524" 0.9629472 0.0 crates 126.973742212 52.2995268083 1.199999957179898e-07 "RFC J0827+5217" 0.337622  0.0 0.0 10.419953 0.13669015 0.93772507 -inf
"4FGL J0829.0+1755" 1 127.2747 17.9233 206.70338 29.36334 10.796582 2.9544872e-10 3.956935e-11 3.2454673e-12 4.8063046e-13 PowerLaw 2.096249 0.09384471 2165.5522 2.0272048 0.13306399 0.10140073 0.07212634 0 bll "TXS 0826+180" 0.99871945 0.95536095 bllac 127.27011925 17.9044068833 1.8000000068241206e-07 "RFC J0829+1754" 0.089442  0.0 0.0 11.4861145 0.29180425 0.21245657 51.1834
"4FGL J0858.1+1405" 1 134.5422 14.0986 214.00659 34.36263 5.534675 1.4812356e-10 3.288794e-11 2.2129648e-12 4.80528e-13 PowerLaw 2.5830998 0.13534078 704.36176 2.5592592 0.1757743 0.11632131 0.13693477 0 ssrq "3C 212" 0.8050725 0.9448235 rfc 134.672695904 14.1624340361 1.199999957179898e-07 "RFC J0858+1409" 1.048  0.0 0.0 8.059893 0.0 10.0 -inf
"4FGL J1008.0+0028" 1 152.0207 0.4791 240.23286 42.61838 11.151456 3.185732e-10 3.9617632e-11 3.730312e-12 4.912111e-13 PowerLaw 2.251705 0.0950805 1478.2167 2.1437435 0.15271541 0.10794947 0.08707896 0 bcu "PKS 1005+007" 0.9884837 0.9511741 rfc 152.047653263 0.499987711111 1.0999999631167157e-06 "RFC J1008+0029" 0.0979 ISP 131522485000000.0 2.3640736e-12 12.1884985 0.2618372 0.1964289 -inf
"4FGL J1102.9+3014" 1 165.7401 30.2439 199.00398 66.06317 6.5183773 9.157423e-11 2.2717323e-11 3.00318e-12 4.707676e-13 PowerLaw 2.9566987 0.12526663 343.00552 2.8915694 0.16298588 0.12586997 0.11419169 0 fsrq "B2 1100+30B" 0.98599035 0.0 cgrabs 165.805424571 30.2451951 1.1000000199601345e-07 "RFC J1103+3014" 0.384 LSP 14454398000000.0 1.2270606e-12 8.839866 0.0 10.0 -inf
"4FGL J1144.9+1937" 1 176.2394 19.6283 235.61171 73.02338 12.879182 3.110639e-10 3.7124637e-11 3.2473093e-12 4.628884e-13 PowerLaw 1.9982857 0.09026744 2614.4849 1.988557 0.10175425 0.00743223 0.042882103 0 rdg "3C 264" 0.9866322 0.99126333 rfc 176.270871004 19.6063168472 1.0000000116860974e-07 "RFC J1145+1936" 0.021718 HSP 3890451400000000.0 1.3905289e-12 5.6620216 0.0 10.0 97.1893
